Prestamos,Depositos,Tasa,Arrendamientos,Activos
730.2725,2685.6268,8.25,2599.5492,4192.4644
737.5891,2713.696,8.25,2622.8265,4233.7882
740.5124,2706.917,8.25,2618.7478,4228.5074
742.6982,2717.7817,8.25,2637.1986,4241.9597
742.7408,2721.4316,8.25,2638.0995,4239.9413
741.4776,2729.4059,8.25,2646.7914,4235.8868
755.0209,2759.2746,8.25,2679.4089,4282.5752
764.9315,2789.9414,8.25,2711.9442,4313.4563
771.394,2831.328,8.25,2731.862,4379.2141
778.4343,2871.1977,8.25,2762.337,4418.475
781.1222,2856.07,8.25,2776.8013,4435.2057
791.9474,2860.2399,8.25,2786.2446,4472.1378
798.2926,2887.154,8.3,2800.0225,4495.3605
809.4824,2928.4278,8.5,2831.1914,4553.7617
813.3899,2910.8243,8.5,2854.8149,4566.1195
814.5937,2948.803,8.5,2881.8215,4568.9135
813.0479,2965.0105,8.5,2896.6705,4587.5384
814.8431,2990.9615,8.5,2910.9143,4620.3097
826.4716,3016.7105,8.5,2937.6556,4663.2532
833.4817,3038.7562,8.5,2958.0331,4716.1309
839.5687,3093.0915,8.5,2972.2562,4802.8383
845.8462,3119.4365,8.5,2993.8336,4835.0327
854.4371,3095.3006,8.5,3020.0798,4868.5744
865.7589,3113.3188,8.5,3034.6944,4883.6368
868.5829,3159.6575,8.5,3048.0587,4921.8915
869.8634,3177.3134,8.5,3072.2213,4950.3242
880.3609,3155.5574,8.5,3081.2824,4934.0873
892.1138,3187.3819,8.5,3108.1117,4970.3049
893.0475,3168.2024,8.5,3117.9837,4965.3919
895.4415,3192.4298,8.5,3147.8736,5017.868
908.9118,3224.709,8.49,3187.6741,5104.431
931.081,3252.5142,8.12,3244.0893,5210.4207
941.9991,3313.1011,7.89,3277.3655,5281.6745
940.1708,3334.8967,7.75,3296.945,5309.4272
936.6691,3324.372,7.75,3286.8275,5299.2187
940.1176,3312.0793,7.75,3269.7097,5264.6358
946.9501,3321.4945,7.75,3260.0976,5223.9318
952.9272,3349.7113,7.75,3275.7967,5244.8007
947.2921,3325.1685,7.75,3285.4224,5257.0232
950.8006,3336.5481,7.75,3310.1413,5296.3121
953.2766,3335.6587,8,3298.2574,5270.9999
960.2613,3330.0223,8.06,3314.5718,5283.0186
971.3059,3353.9853,8.25,3348.596,5349.5374
977.675,3387.3781,8.25,3373.1168,5402.3929
999.7367,3455.4685,8.37,3445.2557,5510.4266
1002.0151,3515.4285,8.5,3510.1571,5627.3405
1002.4454,3496.7351,8.5,3523.1162,5627.864
1021.3223,3501.2744,8.73,3542.7489,5652.402
1029.2104,3521.6301,8.83,3572.0367,5684.8423
1041.3789,3583.3674,9,3613.5952,5759.2866
1058.218,3561.3209,9.24,3662.8924,5822.0291
1063.6394,3586.3536,9.5,3697.5018,5845.688
1062.9152,3608.6089,9.5,3711.8284,5863.6835
1062.8728,3625.4464,9.5,3739.8798,5894.5717
1068.5774,3648.2501,9.5,3787.57,5962.0393
1076.2505,3665.1179,9.5,3806.7863,5996.8
1079.5047,3689.361,9.5,3837.0991,6031.3772
1085.8334,3763.5632,9.5,3881.0341,6135.9905
1092.6257,3771.675,9.05,3886.9883,6186.7179
1099.4253,3771.4935,8.5,3887.2768,6143.2778
1095.3238,3805.7498,8.32,3890.2602,6168.5416
1095.5755,3871.5234,7.8,3905.9659,6226.6348
1090.9447,3856.4881,7.24,3909.6379,6202.1926
1073.1209,3874.8799,6.98,3901.0351,6183.1727
1058.8788,3884.2855,6.75,3889.5984,6183.6406
1048.3954,3883.7678,6.67,3880.6185,6216.7293
1054.9491,4021.2043,6.28,3953.7526,6469.1321
1041.8392,3975.1091,5.53,3900.5153,6390.8299
1032.683,4043.3595,5.1,3923.5744,6446.5408
1021.7855,4116.7607,4.84,3930.1753,6455.6342
